price,area,location,property_type,bedroom,latitude,longitude
21000000,920,Chembur,Apartment,2,19.07096291,72.89916992
7200000,863,Kalyan,Apartment,2,19.25064278,73.1188736
5300000,646,Kalyan,Apartment,1,19.25064278,73.1188736
11600000,620,Thane,Apartment,2,19.21158218,72.9604187
10000000,620,Thane,Apartment,2,19.21158218,72.9604187
60000000,1860,Andheri,Apartment,3,19.13805008,72.82532501
53000000,1350,Parel,Apartment,3,18.99879456,72.84338379
12500000,1000,Vashi,Apartment,2,19.09006882,73.00334167
9800000,600,Chembur,Apartment,1,19.05251312,72.9052887
14400000,1452,Mira Road,Apartment,3,19.29102135,72.87895203
9800000,1060,Mira Road,Apartment,1,19.29102135,72.87895203
16630000,621,Santacruz,Apartment,2,19.0835762,72.85018921
6000000,675,Mira Road,Apartment,1,19.27721214,72.88743591
2900000,490,Goregaon,Apartment,1,19.15535355,72.88746643
7600000,800,Goregaon,Apartment,2,19.15537071,72.88745117
6400000,675,Mira Road,Apartment,1,19.2723217,72.87452698
9000000,995,Mira Road,Apartment,2,19.2723217,72.87452698
12100000,1030,Mira Road,Apartment,2,19.29805374,72.87605286
5700000,850,Mumbra,Apartment,2,19.16921806,73.03074646
6900000,1050,Mumbra,Apartment,2,19.16921806,73.03074646
29500000,772,Chembur,Apartment,2,19.05181313,72.90020752
12700000,420,Jogeshwari,Apartment,1,19.14257622,72.84370422
16500000,665,Dahisar,Apartment,2,19.25813293,72.84890747
32500000,720,Worli,Apartment,2,18.99811935,72.81504822
168750000,1875,Lower Parel,Apartment,4,19.00762367,72.83289337
28000000,1149,Borivali,Apartment,3,19.2169342,72.86742401
10500000,551,Borivali,Apartment,1,19.2169342,72.86742401
14000000,673,Borivali,Apartment,2,19.2169342,72.86742401
13500000,673,Borivali,Apartment,2,19.2169342,72.86742401
11000000,550,Borivali,Apartment,1,19.2169342,72.86742401
13800000,676,Borivali,Apartment,2,19.2169342,72.86742401
14000000,673,Borivali,Apartment,2,19.2169342,72.86742401
13500000,673,Borivali,Apartment,2,19.2169342,72.86742401
11000000,550,Borivali,Apartment,1,19.2169342,72.86742401
13800000,676,Borivali,Apartment,2,19.2169342,72.86742401
11300000,551,Borivali,Apartment,1,19.2169342,72.86742401
28000000,1149,Borivali,Apartment,3,19.2169342,72.86742401
47000000,1221,Chembur,Apartment,3,19.05181313,72.90020752
14500000,718,Borivali,Apartment,2,19.22400856,72.86885071
10500000,534,Borivali,Apartment,1,19.22455025,72.86902618
7200000,600,Bhayandar,Apartment,1,19.31095886,72.85369873
19000000,724,Borivali,Apartment,2,19.22264481,72.86534882
20000000,750,Borivali,Apartment,2,19.22264481,72.86534882
19500000,732,Borivali,Apartment,2,19.22264481,72.86534882
18200000,822,Borivali,Apartment,2,19.21585846,72.86445618
25000000,914,Borivali,Apartment,2,19.21585846,72.86445618
25800000,1048,Borivali,Apartment,3,19.21585846,72.86445618
29400000,1105,Borivali,Apartment,3,19.22673035,72.85987854
30000000,1296,Borivali,Apartment,3,19.22673035,72.85987854
7800000,440,Malad,Apartment,1,19.19013023,72.85076904
7500000,440,Malad,Apartment,1,19.18992043,72.85050964
7700000,440,Malad,Apartment,1,19.1878376,72.86705017
10300000,507,Borivali,Apartment,1,19.22890663,72.86195374
16600000,705,Borivali,Apartment,2,19.22890663,72.86195374
18500000,812,Malad,Apartment,2,19.19087029,72.86130524
9100000,481,Borivali,Apartment,1,19.22286224,72.85883331
6900000,715,Mira Road,Apartment,1,19.28604317,72.87023163
8900000,520,Kandivali,Apartment,1,19.21466827,72.82371521
20000000,728,Goregaon,Apartment,2,19.16010094,72.84772491
30000000,1015,Goregaon,Apartment,3,19.16010094,72.84772491
12400000,850,Kalwa,Apartment,2,19.2050457,72.99949646
6800000,680,Kalwa,Apartment,1,19.2050457,72.99949646
13600000,1098,Kalwa,Apartment,2,19.20948792,73.01093292
6200000,650,Kalwa,Apartment,1,19.2050457,72.99949646
8500000,930,Kalwa,Apartment,2,19.20948792,73.01093292
10700000,845,Thane,Apartment,2,19.22933769,72.96694946
16600000,1175,Thane,Apartment,3,19.20920753,72.94970703
13000000,1250,Kalwa,Apartment,3,19.20948792,73.01093292
9100000,900,Mira Road,Apartment,2,19.27293587,72.88097382
11125000,499,Andheri,Apartment,1,19.11890793,72.86488342
7700000,675,Mira Road,Apartment,1,19.27293587,72.88097382
12700000,420,Jogeshwari,Apartment,1,19.14257622,72.84370422
16500000,665,Dahisar,Apartment,2,19.25813293,72.84890747
32500000,720,Worli,Apartment,2,18.99811935,72.81504822
168750000,1875,Lower Parel,Apartment,4,19.00762367,72.83289337
28000000,1149,Borivali,Apartment,3,19.2169342,72.86742401
10500000,551,Borivali,Apartment,1,19.2169342,72.86742401
14000000,673,Borivali,Apartment,2,19.2169342,72.86742401
13500000,673,Borivali,Apartment,2,19.2169342,72.86742401
11000000,550,Borivali,Apartment,1,19.2169342,72.86742401
13800000,676,Borivali,Apartment,2,19.2169342,72.86742401
11300000,551,Borivali,Apartment,1,19.2169342,72.86742401
28000000,1149,Borivali,Apartment,3,19.2169342,72.86742401
47000000,1221,Chembur,Apartment,3,19.05181313,72.90020752
14500000,718,Borivali,Apartment,2,19.22400856,72.86885071
10500000,534,Borivali,Apartment,1,19.22455025,72.86902618
7200000,600,Bhayandar,Apartment,1,19.31095886,72.85369873
19000000,724,Borivali,Apartment,2,19.22264481,72.86534882
20000000,750,Borivali,Apartment,2,19.22264481,72.86534882
19500000,732,Borivali,Apartment,2,19.22264481,72.86534882
18200000,822,Borivali,Apartment,2,19.21585846,72.86445618
29400000,1105,Borivali,Apartment,3,19.22673035,72.85987854
30000000,1296,Borivali,Apartment,3,19.22673035,72.85987854
7800000,440,Malad,Apartment,1,19.19013023,72.85076904
7500000,440,Malad,Apartment,1,19.18992043,72.85050964
8000000,503,Kandivali,Apartment,1,19.20811272,72.83140564
9000000,507,Kandivali,Apartment,1,19.20026207,72.86649323
5900000,352,Malad,Apartment,1,19.18710709,72.85057068
6100000,398,Malad,Apartment,1,19.18710709,72.85057068
7700000,440,Malad,Apartment,1,19.1878376,72.86705017
10300000,507,Borivali,Apartment,1,19.22890663,72.86195374
16600000,705,Borivali,Apartment,2,19.22890663,72.86195374
18500000,812,Malad,Apartment,2,19.19087029,72.86130524
9100000,481,Borivali,Apartment,1,19.22286224,72.85883331
6900000,715,Mira Road,Apartment,1,19.28604317,72.87023163
8900000,520,Kandivali,Apartment,1,19.21466827,72.82371521
20000000,728,Goregaon,Apartment,2,19.16010094,72.84772491
30000000,1015,Goregaon,Apartment,3,19.16010094,72.84772491
12400000,850,Kalwa,Apartment,2,19.2050457,72.99949646
6800000,680,Kalwa,Apartment,1,19.2050457,72.99949646
13600000,1098,Kalwa,Apartment,2,19.20948792,73.01093292
4600000,802,Taloja,Apartment,2,19.07123184,73.09724426
3300000,605,Taloja,Apartment,1,19.07122612,73.09724426
3500000,672,Taloje,Apartment,1,19.07125473,73.09725189
5100000,520,Kalyan,Apartment,1,19.25238609,73.1255722
5800000,790,Thane,Apartment,2,19.25656128,73.12287903
5500000,933,Taloje,Apartment,2,19.07117844,73.097229
4100000,720,Taloja,Apartment,1,19.07181549,73.09798431
3500000,720,Taloje,Apartment,1,19.08200073,73.10729218
6200000,1020,Taloja,Apartment,2,19.07297325,73.10353851
15500000,950,Malad,Apartment,2,19.18033409,72.83765411
7800000,1110,Vasai,Apartment,2,19.36294746,72.81175995
3250000,1000,Taloja,Apartment,1,19.06961632,73.09765625
4800000,640,Dombivli,Apartment,1,19.22700691,73.09072876
4725000,630,Dombivli,Apartment,1,19.22651672,73.08804321
18000000,2075,Vasai,Apartment,3,19.39390373,72.8265152
6700000,895,Dombivli,Apartment,2,19.22650719,73.09095001
4999000,1000,Ambernath,Apartment,2,19.20769119,73.18080902
7500000,980,Vasai,Apartment,2,19.37498093,72.81552887
6800000,700,Mira Road,Apartment,1,19.28025436,72.8841095
7500000,1160,Kalamboli,Apartment,2,19.0376873,73.09468079
4999000,1000,Ambernath,Apartment,2,19.20769119,73.18080902
7500000,980,Vasai,Apartment,2,19.37498093,72.81552887
6800000,700,Mira Road,Apartment,1,19.28025436,72.8841095
7500000,1160,Kalamboli,Apartment,2,19.0376873,73.09468079
9400000,1105,Mira Road,Apartment,2,19.29388237,72.87149048
6336000,770,Mira Road,Apartment,1,19.28095818,72.87423706
2500000,455,Dombivali,Apartment,1,19.18496323,73.09342957
9500000,1060,Mira Road,Apartment,2,19.27747536,72.87630463
