price,area,locality,property_type,bedroom_num,latitude,longitude
1.05,1200,Kharghar,Apartment,2,19.07247925,73.0797348
3.26,1040,Kandivali,Apartment,3,19.20620918,72.87017822
3.25,1040,Kandivali,Apartment,3,19.20620918,72.87017822
1.45,925,Borivali,Apartment,2,19.22641754,72.86497498
0.92,680,Ghansoli,Apartment,1,19.12237549,72.99855804
1.95,930,Kandivali,Apartment,2,19.20205116,72.87076569
1.35,1100,Thane,Apartment,2,19.20981407,72.97875214
1.05,955,Mira Road,Apartment,2,19.27622032,72.8717041
2.15,850,Mulund,Apartment,2,19.16234016,72.95566559
1.25,1050,Thane,Apartment,2,19.20981407,72.97875214
0.88,850,Mira Road,Apartment,2,19.27948761,72.86984253
0.58,650,Mira Road,Apartment,1,19.27948761,72.86984253
0.8,620,Bhandup,Apartment,1,19.15318108,72.93383789
0.83,630,Bhandup,Apartment,1,19.15318108,72.93383789
0.78,600,Bhandup,Apartment,1,19.15318108,72.93383789
0.7,838,Dombivali,Apartment,2,19.22271729,73.10041809
0.75,600,Bhandup,Apartment,1,19.15318108,72.93383789
0.5,700,Dombivali,Apartment,1,19.22271729,73.10041809
0.55,550,Mira Road,Apartment,1,19.28202057,72.8862915
0.62,880,Thakurli,Apartment,2,19.22306824,73.10228729
1.16,880,Bhandup,Apartment,2,19.15318108,72.93383789
3.0,1675,Mulund,Apartment,3,19.17102432,72.93897247
1.85,1100,Thane,Apartment,3,19.25525093,72.98123169
3.12,1650,Mulund,Apartment,3,19.17135048,72.93907928
5.24,2450,Mulund,Apartment,3,19.1714077,72.93904877
5.15,2425,Thane,Apartment,4,19.26019669,72.98513794
2.17,1180,Andheri,Apartment,2,19.13868713,72.87084198
1.6,1450,Thane,Apartment,3,19.2544117,72.97285461
2.0,950,Mulund,Apartment,2,19.16527939,72.95903015
2.5,1300,Mulund,Apartment,3,19.15246582,72.96372223
0.55,550,Thane,Apartment,1,19.26066017,72.96846008
2.15,1050,Mulund,Apartment,2,19.15246582,72.96372223
5.99,1731,Bandra,Apartment,3,19.05495262,72.82935333
0.75,607,Thane,Apartment,1,19.21686745,72.9930954
1.65,1050,Powai,Apartment,2,19.11909866,72.89984131
1.3,900,Thane,Apartment,2,19.21450233,72.97677612
1.15,900,Koper Khairane,Apartment,2,19.10633659,73.01086426
1.18,709,Thane,Apartment,2,19.2238369,72.99047852
0.97,1054,Mira Road,Apartment,2,19.27293587,72.88097382
0.3,590,Nala Sopara,Apartment,1,19.43198586,72.81169128
2.2,1235,Ghansoli,Apartment,2,19.11900902,73.00673676
